"Projet","Average cyclomatic complexity for classes","Average cyclomatic complexity for methods","Number of classes with cyclomatic complexity greater than 3","Number of methods with cyclomatic complexity greater than 2","Average lines by class","Average lines by method","Median lines of classes","Median lines of methods","Number of God Classes (more than 50 lines)","Number of God Methods (more than 30 lines","Total lines in classes","Total lines in methods","Proportion of commented methods (%)","Proportion of commented classes (%)","Average LCOM"
"Stefanonest-model","3.888888888888889","1.4583333333333333","4","3","22.0","5.448275862068965","22","4","0","0","352","158","0.0","0.0","Transcript"
"nestjs-course-task-management-model","3.625","1.5263157894736843","3","3","22.705882352941178","7.25","19","5","1","0","386","174","0.0","0.0","Transcript"
