"Projet","Average cyclomatic complexity for classes","Average cyclomatic complexity for methods","Number of classes with cyclomatic complexity greater than 3","Number of methods with cyclomatic complexity greater than 2","Average lines by class","Average lines by method","Median lines of classes","Median lines of methods","Number of God Classes (more than 50 lines)","Number of God Methods (more than 30 lines","Total lines in classes","Total lines in methods","Proportion of commented methods (%)","Proportion of commented classes (%)","Average LCOM"
"commercialPaperLoopback-model","2.6666666666666665","1.6","1","0","37.92307692307692","12.391304347826088","36","7","1","4","493","285","0.0","0.0","Transcript"
"Loopback4example-model","4.583333333333333","1.71875","5","4","53.44","11.867924528301886","46","6","11","8","1336","629","3.77","0.0","Transcript"
"jwtrolebasedauthentification-model","7.0","2.5","4","4","28.357142857142858","8.0","24","4","2","1","397","224","14.290000000000001","35.71","Transcript"
